what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1252081320184
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1252081320184
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1252081320185
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1252081320187
started,bundle,org.guvnor.tools,5.0.1,"org.guvnor.tools",1252081320188
os,sysinfo,,,"linux",1252081320193
arch,sysinfo,,,"x86",1252081320193
ws,sysinfo,,,"gtk",1252081320193
locale,sysinfo,,,"en_US",1252081320193
processors,sysinfo,,,"2",1252081320193
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1252081320193
java.runtime.version,sysinfo,,,"1.5.0_02-b09",1252081320193
java.specification.name,sysinfo,,,"Java Platform API Specification",1252081320193
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252081320193
java.specification.version,sysinfo,,,"1.5",1252081320193
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1252081320193
java.version,sysinfo,,,"1.5.0_02",1252081320193
java.vm.info,sysinfo,,,"mixed mode, sharing",1252081320193
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1252081320193
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1252081320193
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1252081320193
java.vm.specification.version,sysinfo,,,"1.0",1252081320193
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1252081320193
java.vm.version,sysinfo,,,"1.5.0_02-b09",1252081320193
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1252081320244
